,Dim1,Dim2,tokens,article,competitor
23532,-12.02129936,-16.59409332,albeit,62,3
23914,-12.02147675,-16.59431458,albeit,63,3
26798,-12.01831913,-16.60652161,albeit,70,3
6796,-6.314573765,3.539405584,alcoholic,14,0
28532,-7.115362644,33.60531235,alcoholic,74,3
11963,-58.20276642,3.549155235,alert,29,1
2784,2.7551651,56.1139946,alexa,5,0
21926,2.767698526,56.10937119,alexa,59,3
22662,2.760940075,56.08670807,alexa,60,3
22981,2.75350523,56.09297943,alexa,61,3
23441,2.761111021,56.08660507,alexa,62,3
23789,2.802161455,56.05862808,alexa,63,3
24696,14.55756569,43.2853508,alexa,65,3
26814,2.760906935,56.08665466,alexa,70,3
6912,-11.47309875,4.185698509,algae,14,0
13604,-7.856538773,35.2711792,algae,35,1
6461,-9.440158844,-37.8236084,alike,13,0
17561,38.46158981,-34.89267731,alike,48,1
20600,-3.357485771,-50.70615768,alike,56,2
21805,-25.0953598,-41.78618622,alike,59,3
136,-22.33498955,-46.11296844,alleged,0,0
726,-15.16738605,35.03779602,allergic,1,0
18370,-15.1726017,35.07650375,allergic,50,2
18830,-15.32366848,34.74411774,allergic,51,2
24105,-15.3334198,34.72732544,allergic,64,3
25141,-15.21301651,34.91904068,allergic,66,3
27984,-63.10482025,5.550926208,allergic,73,3
29566,-15.1764698,35.09604263,allergic,77,3
19249,-18.60162163,57.38909531,alleviate,52,2
27503,18.54305458,-37.42762375,alleviate,72,3
27770,18.47291565,-37.38833618,alleviate,73,3
1871,28.2165451,-31.67651939,allowed,3,0
27617,-56.63725281,7.740609646,allowed,72,3
2748,43.10411453,-28.19555855,allowing,5,0
4068,42.01622772,-29.76952171,allowing,8,0
5568,-2.083470345,4.934148312,allowing,11,0
7095,-16.99764252,-28.28234863,allowing,14,0
19476,43.06467056,-28.01733017,allowing,53,2
23681,42.93026733,-28.20234108,allowing,63,3
31754,42.4563179,-36.24621964,allowing,82,3
6345,18.76885986,-54.44239426,allows,12,0
